City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
211,Pulgaon,IN,76.64,moderate rain,20.7333,78.3333,Jagruti Vikas Prakshikshan Sanstha
216,Lang Son,VN,77.32,clear sky,21.8333,106.7333,Khai Nga Hotel
224,Sabzevar,IR,87.08,few clouds,36.2126,57.6819,پزشکی قانونی سبزوار
231,Dingle,PH,80.91,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
236,Baracoa,CU,80.4,overcast clouds,20.3467,-74.4958,Hostal Rio Miel
244,San Andres,CO,80.62,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
245,Sorong,ID,80.31,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
248,Mersin,TR,77.14,clear sky,36.862,34.6509,Nostalgia Boutique Hotel
253,Madang,PG,81.95,scattered clouds,-5.2246,145.7966,Comfort Inn Hotel
254,San Policarpo,PH,82.02,overcast clouds,12.1791,125.5072,Agapita M. Nicart
256,Ischia,IT,79.65,clear sky,40.7342,13.9471,Hotel Ulisse
257,Bubaque,GW,78.22,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
259,Jiangyou,CN,79.72,clear sky,31.7667,104.7167,Shangping Shuyuan Inn
260,Belogorsk,RU,79.07,clear sky,50.9158,128.4611,Gostinitsa Vostok 2000
263,Ponta Do Sol,PT,81.23,broken clouds,32.6667,-17.1,Hotel do Campo
271,Ugoofaaru,MV,81.46,overcast clouds,5.6667,73.0,Ungoofaaru Inn
272,Coahuayana,MX,82.98,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
275,Norman Wells,CA,78.84,few clouds,65.282,-126.8329,Heritage Hotel
276,Coos Bay,US,84.31,scattered clouds,43.3665,-124.2179,Best Western Holiday Hotel
281,Nabire,ID,77.27,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
282,Sulangan,PH,82.98,overcast clouds,11.1373,123.7228,Maia's Beach Resort
283,Lorengau,PG,81.9,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
287,Bethel,US,82.15,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
288,Batesville,US,88.65,broken clouds,35.7698,-91.641,"Holiday Inn Express & Suites Batesville, an IHG Hotel"
290,Dalton,US,85.59,overcast clouds,34.7698,-84.9702,Hampton Inn Dalton
291,Yaring,TH,77.81,broken clouds,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
293,Bull Savanna,JM,77.83,broken clouds,17.8868,-77.5902,Big Red's
294,Lompoc,US,85.01,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
297,Iquitos,PE,78.84,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
303,Katsuura,JP,80.62,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
305,Kazerun,IR,82.11,scattered clouds,29.6195,51.6541,آپارتمان بزرگ اویسا
307,Balkanabat,TM,82.83,overcast clouds,39.5108,54.3671,Nebitchi Hotel
308,Veraval,IN,81.75,overcast clouds,20.9,70.3667,Lords Inn Somnath
309,Mitsamiouli,KM,75.92,clear sky,-11.3847,43.2844,Foyer ADM
312,Raxaul,IN,80.35,broken clouds,26.9833,84.85,R S Residency
314,Mongo,TD,76.75,overcast clouds,12.1844,18.693,Résidences du Programme FIDA
324,Winslow,US,78.4,broken clouds,35.0242,-110.6974,Best Western Plus Winslow Inn
330,Awjilah,LY,83.75,clear sky,29.1081,21.2869,المنزل
333,Samarai,PG,79.88,broken clouds,-10.6167,150.6667,Nuli Sapi
340,North Bend,US,84.24,scattered clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
346,Nautla,MX,84.67,overcast clouds,20.2167,-96.7833,Casa Blanca
347,Komsomolskiy,UZ,79.52,clear sky,40.4272,71.7189,Ikathouse
352,Pangai,TO,80.71,few clouds,-19.8,-174.35,Ha'apai Beach Resort
353,Jieshi,CN,85.08,scattered clouds,22.8134,115.8257,Yuehai Hotel
355,Port Keats,AU,77.05,few clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
356,Tongliao,CN,79.68,scattered clouds,43.6125,122.2653,Meirujia Hotel
358,San Lawrenz,MT,81.86,clear sky,36.0553,14.204,San Andrea Hotel
362,Puerto Colombia,CO,82.49,broken clouds,10.9878,-74.9547,Hotel El Emigrante
364,Vilyuysk,RU,76.15,scattered clouds,63.7553,121.6247,Gostinitsa Viliuisk
366,Ranong,TH,76.93,overcast clouds,9.9658,98.6348,Numsai Khaosuay Resort Ranong
367,Rupert,US,88.18,clear sky,42.6191,-113.6772,Uptown Motel
369,Machico,PT,81.23,few clouds,32.7,-16.7667,Dom Pedro Madeira Hotel
374,Lishui,CN,82.9,overcast clouds,28.4604,119.9103,Bayi Hotel
376,Najran,SA,77.65,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
378,Wanning,CN,81.64,few clouds,18.8003,110.3967,Paradise Hotel
382,Diffa,NE,87.89,scattered clouds,13.3154,12.6113,ProDAF/Diffa
383,Nakhon Si Thammarat,TH,78.8,overcast clouds,8.25,100.0,ร้านไอซ์โมสีshop
384,Tak Bai,TH,77.02,broken clouds,6.2595,102.0546,ชาญ อ่อนวงษ์
387,Bac Lieu,VN,82.18,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
389,Tefe,BR,76.62,broken clouds,-3.3542,-64.7114,Aracati Hotel
392,Colon,PA,79.36,overcast clouds,9.3592,-79.9014,Sand Diamond Hotel
393,Vung Tau,VN,82.0,broken clouds,10.346,107.0843,Seaside Resort
396,Mindelo,CV,77.7,broken clouds,16.8901,-24.9804,Hotel Gaudi
397,Taitung,TW,84.47,few clouds,22.7583,121.1444,Taitung Bali Suites Hotel
398,Helena,US,85.35,overcast clouds,46.5927,-112.0361,"Holiday Inn Express & Suites Helena, an IHG Hotel"
399,Durusu,TR,75.38,clear sky,41.3053,28.6767,Durusu Talebe Yurdu
