City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Cloudiness,Humidity,Wind Speed
164,164,Wajima,JP,2022-07-25 17:58:11,37.4,136.9,76.95,12,83,1.57
165,165,Pevek,RU,2022-07-25 17:58:11,69.7008,170.3133,35.1,90,84,6.29
166,166,Sechura,PE,2022-07-25 17:58:12,-5.5569,-80.8222,75.47,67,60,10.74
167,167,Whitehorse,CA,2022-07-25 17:58:12,60.7161,-135.0538,59.77,75,72,14.97
168,168,Hokitika,NZ,2022-07-25 17:58:13,-42.7167,170.9667,48.27,100,81,6.98
169,169,Flic En Flac,MU,2022-07-25 17:58:13,-20.2742,57.3631,68.56,51,77,9.78
170,170,Jibuti,DJ,2022-07-25 17:58:13,11.5,42.5,93.02,94,34,4.23
171,171,Rudraprayag,IN,2022-07-25 17:58:14,30.2833,78.9833,77.25,90,90,1.48
172,172,Sosnovo-Ozerskoye,RU,2022-07-25 17:58:14,52.5249,111.5418,52.75,53,94,3.13
173,173,Nalut,LY,2022-07-25 17:58:15,30.3333,10.85,91.4,0,13,6.96
174,174,Safaga,EG,2022-07-25 17:58:15,26.7292,33.9365,86.72,1,50,1.21
175,175,Kamenka,RU,2022-07-25 17:58:15,51.3223,42.7678,63.84,86,89,3.22
176,176,Puerto Del Rosario,ES,2022-07-25 17:58:16,28.5004,-13.8627,78.55,0,78,12.66
177,177,Teguise,ES,2022-07-25 17:58:16,29.0605,-13.564,91.62,0,38,17.27
178,178,Zavitinsk,RU,2022-07-25 17:58:17,50.1167,129.45,64.17,2,90,2.68
179,179,Nouadhibou,MR,2022-07-25 17:58:17,20.931,-17.0347,80.58,13,69,25.32
180,180,Minab,IR,2022-07-25 17:58:18,27.1467,57.0801,91.72,85,70,9.22
181,181,Abu Kamal,SY,2022-07-25 17:58:18,34.4506,40.9171,93.06,0,13,7.9
182,182,Lanivtsi,UA,2022-07-25 17:58:18,49.8633,26.0908,66.22,18,63,5.08
183,183,Lincoln,US,2022-07-25 17:58:07,40.8,-96.667,72.54,100,100,6.8
184,184,Constitucion,CL,2022-07-25 17:58:19,-35.3333,-72.4167,55.33,100,78,23.71
185,185,Suntar,RU,2022-07-25 17:58:19,62.1444,117.6319,69.22,20,86,3.85
186,186,Ibanda,TZ,2022-07-25 17:58:20,-2.7974,32.4746,73.35,78,37,4.5
187,187,Zwedru,LR,2022-07-25 17:58:20,6.0667,-8.1281,76.26,100,75,2.75
188,188,Solnechnyy,RU,2022-07-25 17:58:21,50.7214,136.6319,61.56,93,99,5.23
189,189,Bonfim,BR,2022-07-25 17:58:21,3.0833,-59.95,87.31,28,61,1.9
190,190,Camacha,PT,2022-07-25 17:58:21,33.0833,-16.3333,74.62,40,65,8.05
191,191,Bonthe,SL,2022-07-25 17:58:22,7.5264,-12.505,77.79,100,74,10.98
192,192,Kirovskiy,RU,2022-07-25 17:58:22,45.0917,133.5136,63.73,27,97,2.57
193,193,La Rioja,ES,2022-07-25 17:56:47,42.25,-2.5,69.58,0,59,12.12
194,194,Darhan,MN,2022-07-25 17:58:23,49.4867,105.9228,56.52,94,87,3.74
195,195,Ekhabi,RU,2022-07-25 17:58:24,53.5102,142.9671,56.91,100,98,11.12
196,196,Marsh Harbour,BS,2022-07-25 17:58:24,26.5412,-77.0636,83.61,77,71,15.5
197,197,San Cristobal,VE,2022-07-25 17:58:24,7.7669,-72.225,80.78,39,47,8.59
198,198,Providencia,MX,2022-07-25 17:58:25,28.7167,-111.5833,97.41,21,40,12.19
199,199,Beyneu,KZ,2022-07-25 17:58:25,45.3167,55.2,76.6,96,50,10.02
200,200,Ostrovnoy,RU,2022-07-25 17:58:26,68.0531,39.5131,54.32,70,75,1.95
201,201,Cidreira,BR,2022-07-25 17:58:26,-30.1811,-50.2056,65.46,19,84,7.52
202,202,Derzhavinsk,KZ,2022-07-25 17:58:26,51.1,66.3167,77.88,63,30,9.53
203,203,Khatanga,RU,2022-07-25 17:58:27,71.9667,102.5,65.26,100,72,3.04
204,204,Wanaka,NZ,2022-07-25 17:58:28,-44.7,169.15,35.11,100,97,1.01
205,205,Buraydah,SA,2022-07-25 17:55:02,26.326,43.975,104.45,26,12,14.18
206,206,Saryozek,KZ,2022-07-25 17:58:28,44.3583,77.9753,67.64,1,30,5.19
207,207,Gold Coast,AU,2022-07-25 17:58:28,-28.0,153.4333,54.0,0,95,8.23
208,208,Nishihara,JP,2022-07-25 17:58:29,26.1842,127.7558,83.48,3,84,2.3
209,209,Los Llanos De Aridane,ES,2022-07-25 17:58:29,28.6585,-17.9182,74.95,0,73,17.27
210,210,Marhaura,IN,2022-07-25 17:58:30,25.9667,84.8667,82.33,85,63,11.43
211,211,Broken Hill,AU,2022-07-25 17:55:09,-31.95,141.4333,44.91,0,80,15.93
212,212,Sterling,US,2022-07-25 17:57:51,39.0062,-77.4286,91.94,0,69,7.0
213,213,Arlit,NE,2022-07-25 17:58:31,18.7369,7.3853,106.18,10,10,10.07
214,214,Mangochi,MW,2022-07-25 17:58:31,-14.4782,35.2645,74.34,94,39,10.87
215,215,Grand Baie,MU,2022-07-25 17:58:32,-20.0182,57.5802,68.47,55,77,3.0
